gid,gnaf_pid,listing_source,state,street,suburb,bedrooms,bathrooms,garage_spaces,building_size,land_size,mb,sa1,poa,sal,typ,dat,price,zoning_appears_on_portals,market,hedonic_price,date_sold,display_price,source,property_type,yield
9566571.0,GANSW705844500,Sold,NSW,64 ROSEVILLE AVE,ROSEVILLE,5.0,4.0,,0 m²,1037.0,10416760000,12103140827,2069,Roseville,house,2002-12-19,2155000.0,False,Roseville house buy,1949999.9999999998,2002-12-19,2155000.0,nswlrs,UNKNOWN,
8821081.0,GANSW706332342,Sold,NSW,18 PENKIVIL ST,WILLOUGHBY,,,,0 m²,0.0,10838820000,12101168702,2068,Willoughby (NSW),house,2002-12-19,925000.0,False,Willoughby (NSW) house buy,693000.0,2002-12-19,925000.0,nswlrs,UNKNOWN,
8944315.0,GANSW706324522,Sold,NSW,120/2 ARTARMON RD,WILLOUGHBY,,,,,,10844030000,12101168714,2068,Willoughby (NSW),unit,2002-12-19,450000.0,False,Willoughby (NSW) unit buy,700540.5405405405,2002-12-19,450000.0,nswlrs,UNKNOWN,
550002.0,GANSW705618555,Sold,NSW,12 PARKER ST,NORTHBRIDGE,4.0,5.0,,0 m²,697.0,10843200000,12101168309,2063,Northbridge (NSW),house,2002-12-20,2800000.0,False,Northbridge (NSW) house buy,1400000.0,2002-12-20,2800000.0,nswlrs,UNKNOWN,
5584777.0,GANSW705618551,Sold,NSW,1 PARKER ST,NORTHBRIDGE,5.0,3.0,2.0,0 m²,601.0,10843432000,12101168309,2063,Northbridge (NSW),house,2002-12-20,1225000.0,False,Northbridge (NSW) house buy,1885000.0,2002-12-20,1225000.0,nswlrs,UNKNOWN,
1784911.0,GANSW715568095,Sold,NSW,30 ROBERT ST,WILLOUGHBY,3.0,2.0,1.0,0 m²,550.0,11204673300,12101168706,2068,Willoughby East,house,2002-12-20,925000.0,False,Willoughby East house buy,860000.0000000001,2002-12-20,925000.0,nswlrs,UNKNOWN,
11796043.0,GANSW710651450,Sold,NSW,2/17-27 PENKIVIL ST,WILLOUGHBY,1.0,1.0,1.0,60 m²,4180.0,10844460000,12101168730,2068,Willoughby (NSW),unit,2002-12-23,290000.0,False,Willoughby (NSW) unit buy,498675.2688172043,2002-12-23,290000.0,nswlrs,UNKNOWN,
10037829.0,GANSW704358839,Sold,NSW,31 THE SCARP,CASTLECRAG,3.0,2.0,2.0,285 m²,487.0,10843050000,12101168333,2068,Castlecrag,house,2002-12-24,1190000.0,False,Castlecrag house buy,775000.0,2002-12-24,1190000.0,nswlrs,UNKNOWN,
3909899.0,GANSW705574499,Sold,NSW,10 NAROOMA RD,NORTHBRIDGE,5.0,4.0,4.0,0 m²,650.0,10843510000,12101168322,2063,Northbridge (NSW),house,2002-12-26,1000000.0,False,Northbridge (NSW) house buy,1488506.0,2002-12-26,1000000.0,nswlrs,UNKNOWN,
10800265.0,GANSW706317303,Sold,NSW,23 EDWARD ST,WILLOUGHBY,4.0,2.0,2.0,230 m²,446.0,10844182000,12101168726,2068,Willoughby (NSW),house,2002-12-27,665000.0,False,Willoughby (NSW) house buy,684000.0,2002-12-27,665000.0,nswlrs,UNKNOWN,
6521502.0,GANSW705855050,Sold,NSW,25 ROWE ST,ROSEVILLE CHASE,5.0,3.0,2.0,0 m²,877.0,10421890000,12103140845,2069,Roseville Chase,house,2003-01-06,890000.0,False,Roseville Chase house buy,721000.0000000001,2003-01-06,890000.0,nswlrs,UNKNOWN,
5339462.0,GANSW705566568,Sold,NSW,16 EASTERN VALLEY WAY,NORTHBRIDGE,,,,0 m²,658.0,11204679100,12101168314,2063,Northbridge (NSW),house,2003-01-08,177012.0,False,Northbridge (NSW) house buy,354024.0,2003-01-08,177012.0,nswlrs,UNKNOWN,
5723839.0,GANSW710647774,Sold,NSW,285 PENSHURST ST,NORTH WILLOUGHBY,,,,,,11205158800,12101168725,2068,North Willoughby,house,2003-01-10,5500000.0,False,North Willoughby house buy,2750000.0,2003-01-10,5500000.0,nswlrs,UNKNOWN,
3959305.0,GANSW706371432,Sold,NSW,127 EASTERN VALLEY WAY,WILLOUGHBY,4.0,2.0,2.0,0 m²,493.0,10842340000,12101168316,2068,Castlecrag,house,2003-01-17,775000.0,False,Castlecrag house buy,1137500.0,2003-01-17,775000.0,nswlrs,UNKNOWN,
13995779.0,GANSW705361500,Sold,NSW,63 REMBRANDT DR,MIDDLE COVE,5.0,3.0,2.0,0 m²,1094.0,10842920000,12101168325,2068,Middle Cove,house,2003-01-17,1040000.0,False,Middle Cove house buy,660000.0,2003-01-17,1040000.0,nswlrs,UNKNOWN,
208694.0,GANSW715563919,Sold,NSW,7/1 PENKIVIL ST,WILLOUGHBY,,,,,,10844430000,12101168726,2068,Willoughby (NSW),unit,2003-01-17,467000.0,False,Willoughby (NSW) unit buy,261869.15887850465,2003-01-17,467000.0,nswlrs,UNKNOWN,
2209377.0,GANSW704348101,Sold,NSW,4 DENAWEN AVE,CASTLE COVE,,,,,,10842682000,12101168306,2069,Castle Cove,house,2003-01-21,750000.0,False,Castle Cove house buy,800000.0,2003-01-21,750000.0,nswlrs,UNKNOWN,
1757090.0,GANSW704340956,Sold,NSW,3/3 THE POSTERN,CASTLECRAG,,,,,,11205359500,12101168326,2068,Castlecrag,unit,2003-01-28,420000.0,False,Castlecrag unit buy,840000.0,2003-01-28,420000.0,nswlrs,UNKNOWN,
5260389.0,GANSW706354405,Sold,NSW,194 SYDNEY ST,WILLOUGHBY,2.0,,,0 m²,285.0,10841900000,12101168423,2068,North Willoughby,house,2003-01-29,690000.0,False,North Willoughby house buy,1380000.0,2003-01-29,690000.0,nswlrs,UNKNOWN,
262468.0,GANSW715563910,Sold,NSW,1/1 PENKIVIL ST,WILLOUGHBY,,,,,,10844430000,12101168726,2068,Willoughby (NSW),unit,2003-01-30,477500.0,False,Willoughby (NSW) unit buy,290785.25641025644,2003-01-30,477500.0,nswlrs,UNKNOWN,
